epoch,total_loss,physics_loss,reg_breach,inv_alpha,E_soft_%,shear_pen
103,14383.861328125,9.930776056902343e-15,14363.3876953125,20.47317886352539,12.984734773635864,0.0
104,14285.5859375,5.0836465333820805e-15,14265.1484375,20.437686920166016,12.943679094314575,0.0
105,14188.5517578125,5.048279096185951e-15,14168.1494140625,20.402320861816406,12.90300339460373,0.0
106,14090.7998046875,1.1105092370580338e-14,14070.4326171875,20.367074966430664,12.861885130405426,0.0
107,13994.3046875,7.432442214580417e-15,13973.97265625,20.331951141357422,12.821155786514282,0.0
108,13898.3984375,8.993323189561593e-15,13878.1015625,20.29694938659668,12.780535221099854,0.0
109,13804.0185546875,5.918842195198502e-15,13783.7568359375,20.262067794799805,12.740424275398254,0.0
110,13710.2578125,5.231231436529302e-15,13690.0302734375,20.227304458618164,12.700439989566803,0.0
111,13616.861328125,6.971968846431614e-15,13596.6689453125,20.19266128540039,12.660475075244904,0.0
112,13523.83984375,9.85663949819391e-15,13503.681640625,20.15813636779785,12.620534002780914,0.0
113,13430.271484375,1.1047769415874903e-14,13410.1474609375,20.123727798461914,12.58021891117096,0.0
114,13337.509765625,9.097359164275155e-15,13317.419921875,20.089439392089844,12.540112435817719,0.0
115,13245.3779296875,4.7898268976055616e-15,13225.322265625,20.055267333984375,12.500140070915222,0.0
116,13153.4912109375,9.590839712312563e-15,13133.4697265625,20.021207809448242,12.4601349234581,0.0
117,13062.876953125,1.0814923446806485e-14,13042.8896484375,19.987266540527344,12.420547008514404,0.0
118,12973.55859375,7.759035249152099e-15,12953.60546875,19.953441619873047,12.381390482187271,0.0
119,12884.6689453125,1.2135595195308761e-14,12864.7490234375,19.919727325439453,12.342287600040436,0.0
120,12796.6904296875,6.655497432063147e-15,12776.8046875,19.88612937927246,12.30345293879509,0.0
121,12708.2900390625,5.742125711412837e-15,12688.4375,19.852643966674805,12.264296412467957,0.0
122,12620.373046875,2.2320531111331282e-14,12600.5537109375,19.819271087646484,12.22521886229515,0.0
123,12533.2705078125,4.605727251135155e-15,12513.484375,19.786008834838867,12.186368554830551,0.0
124,12446.06640625,1.4514826040851365e-14,12426.3134765625,19.75286102294922,12.147337198257446,0.0
125,12360.4296875,2.5841715259219663e-15,12340.7099609375,19.719820022583008,12.108874320983887,0.0
126,12275.5498046875,6.322610095660418e-15,12255.86328125,19.686891555786133,12.070620059967041,0.0
127,12191.521484375,1.1871474228728873e-14,12171.8671875,19.65407371520996,12.032618373632431,0.0
128,12107.8134765625,1.517728881483306e-14,12088.1923828125,19.62136459350586,11.994631588459015,0.0
129,12025.53125,1.4429712782179464e-14,12005.9423828125,19.588764190673828,11.957162618637085,0.0
130,11942.7763671875,9.05729958806771e-15,11923.2197265625,19.556272506713867,11.919349431991577,0.0
131,11857.9912109375,1.1300773922055026e-14,11838.4677734375,19.52388572692871,11.880472302436829,0.0
132,11776.4501953125,1.9446787184588567e-14,11756.958984375,19.491607666015625,11.84295117855072,0.0
133,11695.177734375,6.836742577501307e-15,11675.71875,19.45943832397461,11.805424094200134,0.0
134,11611.5,1.78991529578695e-14,11592.072265625,19.427371978759766,11.766648292541504,0.0
135,11532.4384765625,1.2288663366240033e-14,11513.04296875,19.39541244506836,11.729884892702103,0.0
136,11454.9228515625,9.375789905465958e-15,11435.5595703125,19.363557815551758,11.693717539310455,0.0
137,11373.4072265625,6.86053573298968e-15,11354.0751953125,19.331806182861328,11.655549705028534,0.0
138,11293.1015625,6.417401129271173e-15,11273.8017578125,19.300159454345703,11.617815494537354,0.0
139,11215.51171875,6.869677336072922e-15,11196.2431640625,19.268617630004883,11.581230163574219,0.0
140,11136.302734375,2.0061746656822345e-15,11117.0654296875,19.2371768951416,11.543749272823334,0.0
141,11059.38671875,7.28624263381843e-15,11040.1806640625,19.205839157104492,11.507226526737213,0.0
142,10982.6337890625,1.052524580214204e-14,10963.458984375,19.174604415893555,11.470653116703033,0.0
143,10904.412109375,3.3599194508847656e-15,10885.2685546875,19.143470764160156,11.433248966932297,0.0
144,10832.4228515625,3.727855104820746e-15,10813.310546875,19.112436294555664,11.398706585168839,0.0
145,10760.7099609375,3.800910002455535e-15,10741.62890625,19.081504821777344,11.364182829856873,0.0
146,10683.2548828125,7.433111370608748e-15,10664.2041015625,19.05067253112793,11.326763033866882,0.0
147,10604.650390625,4.964513890449605e-15,10585.630859375,19.019939422607422,11.288649588823318,0.0
148,10536.7041015625,2.352405142696471e-14,10517.71484375,18.989303588867188,11.255590617656708,0.0
149,10471.5146484375,3.655913631995123e-15,10452.5556640625,18.95876693725586,11.223773658275604,0.0
150,10398.3427734375,4.17196083181328e-15,10379.4140625,18.928329467773438,11.187940835952759,0.0
151,10318.5830078125,6.49081305129323e-15,10299.6845703125,18.89798927307129,11.148735880851746,0.0
152,10241.923828125,5.884248946116163e-15,10223.0556640625,18.867748260498047,11.110912263393402,0.0
153,10180.8798828125,3.2283911160439337e-15,10162.0419921875,18.837600708007812,11.080694943666458,0.0
154,10122.7802734375,1.2760668240932756e-14,10103.97265625,18.80755043029785,11.051851511001587,0.0
155,10054.1044921875,4.874272694315026e-15,10035.3271484375,18.77759552001953,11.017648130655289,0.0
156,9974.0859375,5.521961096114237e-15,9955.337890625,18.74773597717285,10.977643728256226,0.0
157,9890.8515625,5.024483399598736e-15,9872.1337890625,18.717971801757812,10.935860872268677,0.0
158,9818.5654296875,1.3244227492058974e-14,9799.876953125,18.688302993774414,10.899432748556137,0.0
159,9756.2626953125,5.634348392171253e-15,9737.603515625,18.65872573852539,10.867929458618164,0.0
160,9689.78515625,4.166221760079159e-15,9671.15625,18.629243850708008,10.834203660488129,0.0
161,9616.2626953125,1.6073083754794895e-14,9597.6630859375,18.599853515625,10.796765983104706,0.0
162,9542.2490234375,9.277213905130397e-15,9523.6787109375,18.570554733276367,10.758933424949646,0.0
163,9479.39453125,1.3375152527683124e-14,9460.853515625,18.541351318359375,10.726691782474518,0.0
164,9419.9453125,3.594564729691389e-15,9401.4326171875,18.512239456176758,10.69609820842743,0.0
165,9353.2724609375,1.4377852342950873e-14,9334.7890625,18.48321533203125,10.661670565605164,0.0
166,9280.4072265625,4.2642255896588495e-15,9261.953125,18.45428466796875,10.623903572559357,0.0
167,9210.4619140625,4.605413425428197e-15,9192.0361328125,18.425445556640625,10.587510466575623,0.0
168,9146.9013671875,3.2845167896784246e-15,9128.5048828125,18.39669418334961,10.554321110248566,0.0
169,9081.978515625,1.9069964249211757e-15,9063.6103515625,18.368032455444336,10.520299524068832,0.0
170,9018.619140625,8.814524698791577e-15,9000.279296875,18.339460372924805,10.48697978258133,0.0
171,8955.5419921875,3.7276992507584514e-15,8937.2314453125,18.310977935791016,10.453692823648453,0.0
172,8890.36328125,6.818398808479094e-15,8872.0810546875,18.282581329345703,10.419172048568726,0.0
173,8827.853515625,8.407552472690198e-15,8809.599609375,18.254276275634766,10.385946929454803,0.0
174,8765.8818359375,1.389471406719944e-14,8747.65625,18.226057052612305,10.352890193462372,0.0
175,8701.7841796875,4.34895344833975e-15,8683.5859375,18.197925567626953,10.31857579946518,0.0
176,8641.8603515625,6.461660294831105e-15,8623.6904296875,18.169878005981445,10.286382585763931,0.0
177,8582.921875,6.784748307067049e-15,8564.7802734375,18.141918182373047,10.25460958480835,0.0
178,8520.1513671875,5.146696277843902e-15,8502.037109375,18.114046096801758,10.220649093389511,0.0
179,8458.2890625,3.2947919346033297e-15,8440.203125,18.086257934570312,10.18705740571022,0.0
180,8398.9697265625,7.546600233013668e-15,8380.9111328125,18.058555603027344,10.154731571674347,0.0
181,8338.1357421875,9.061142576549403e-15,8320.1044921875,18.03093719482422,10.121460258960724,0.0
182,8278.6298828125,3.434750153093473e-15,8260.626953125,18.00340461730957,10.088799148797989,0.0
183,8219.7373046875,7.753458384227377e-15,8201.76171875,17.975954055786133,10.056357830762863,0.0
184,8160.98046875,7.389946571616669e-15,8143.03173828125,17.94858741760254,10.023874789476395,0.0
185,8103.24853515625,1.445007206609967e-14,8085.3271484375,17.92130470275879,9.99184474349022,0.0
186,8047.27099609375,6.4986510706706475e-15,8029.376953125,17.894105911254883,9.960678964853287,0.0
187,7990.42822265625,3.4649828765633472e-15,7972.56103515625,17.866987228393555,9.92891937494278,0.0
188,7931.43212890625,9.208413653989667e-15,7913.59228515625,17.83995246887207,9.895837306976318,0.0
189,7875.015625,2.540479872436695e-15,7857.20263671875,17.812999725341797,9.864085912704468,0.0
190,7819.27587890625,4.253318346397056e-15,7801.48974609375,17.78612518310547,9.832604229450226,0.0
191,7761.80224609375,3.403171282512175e-15,7744.04296875,17.759334564208984,9.800024330615997,0.0
192,7708.70947265625,5.2657230416579704e-15,7690.97705078125,17.732624053955078,9.769821166992188,0.0
193,7656.37841796875,8.22333127699186e-15,7638.67236328125,17.705991744995117,9.73994955420494,0.0
194,7600.1064453125,7.925508563506618e-15,7582.42724609375,17.679441452026367,9.70771312713623,0.0
195,7544.34228515625,3.5244782590202525e-15,7526.689453125,17.652971267700195,9.675649553537369,0.0
196,7490.93603515625,7.580112244538837e-15,7473.3095703125,17.626577377319336,9.644830226898193,0.0
197,7436.01416015625,3.573822586879025e-15,7418.4140625,17.600263595581055,9.613021463155746,0.0
198,7382.31640625,1.585789842267673e-14,7364.7421875,17.57402992248535,9.581807255744934,0.0
199,7328.74462890625,9.019138212695062e-15,7311.19677734375,17.54787254333496,9.550553560256958,0.0
200,7274.84033203125,6.151670376575028e-15,7257.318359375,17.521793365478516,9.51898917555809,0.0
201,7222.54052734375,7.889743444341752e-15,7205.044921875,17.495792388916016,9.4882532954216,0.0
202,7171.8203125,7.611498203366398e-15,7154.3505859375,17.469867706298828,9.458339214324951,0.0
203,7120.73046875,7.111407410208617e-15,7103.28662109375,17.444019317626953,9.428099542856216,0.0
204,7069.36083984375,2.8676520657860624e-15,7051.9423828125,17.41824722290039,9.397584199905396,0.0
205,7018.62451171875,3.063616314506897e-15,7001.23193359375,17.39255142211914,9.367336332798004,0.0
206,6969.56494140625,1.349228617286008e-14,6952.1982421875,17.366931915283203,9.337984025478363,0.0
207,6919.4384765625,2.1467928075415837e-14,6902.09716796875,17.341386795043945,9.30788591504097,0.0
208,6867.15625,1.2627763689310872e-14,6849.84033203125,17.315919876098633,9.27637591958046,0.0
209,6817.24951171875,4.6924210732866324e-15,6799.958984375,17.290523529052734,9.246186167001724,0.0
210,6768.5244140625,2.903705599669468e-15,6751.25927734375,17.26520347595215,9.216604381799698,0.0
211,6718.69287109375,8.112863781109796e-15,6701.453125,17.23995590209961,9.186240285634995,0.0
212,6672.36376953125,6.429865642606494e-15,6655.14892578125,17.21478271484375,9.157909452915192,0.0
213,6625.86669921875,1.3286337735031722e-14,6608.67724609375,17.18968391418457,9.129376709461212,0.0
214,6576.12841796875,4.090338195917014e-15,6558.9638671875,17.16465950012207,9.0987429022789,0.0
215,6528.302734375,2.1279305696523566e-15,6511.1630859375,17.139705657958984,9.069177508354187,0.0
216,6482.25244140625,8.125809832675631e-15,6465.1376953125,17.114824295043945,9.040607511997223,0.0
217,6433.70947265625,1.7318703513730994e-15,6416.61962890625,17.090015411376953,9.010380506515503,0.0
218,6384.89404296875,1.881946272539077e-14,6367.82861328125,17.065277099609375,8.979867398738861,0.0
219,6338.16650390625,5.15805244856774e-15,6321.1259765625,17.040613174438477,8.950550854206085,0.0
220,6293.4296875,4.177704562228612e-15,6276.41357421875,17.016019821166992,8.922381699085236,0.0
221,6247.765625,4.803403988717101e-15,6230.77392578125,16.99149513244629,8.89352485537529,0.0
222,6201.6103515625,6.709810455190514e-15,6184.64306640625,16.967042922973633,8.864250034093857,0.0
223,6156.564453125,7.583818013683075e-15,6139.62158203125,16.94266128540039,8.835573494434357,0.0
224,6111.5419921875,9.505143694972951e-15,6094.62353515625,16.918346405029297,8.806806802749634,0.0
225,6066.50341796875,1.0005621582187627e-14,6049.609375,16.89410400390625,8.77792313694954,0.0
226,6024.0927734375,7.094463786648216e-15,6007.22265625,16.869932174682617,8.750627189874649,0.0
227,5980.74560546875,7.101367105168338e-15,5963.89990234375,16.845827102661133,8.722628653049469,0.0
228,5934.89892578125,1.3356900661735688e-14,5918.0771484375,16.82179069519043,8.692903816699982,0.0
229,5892.431640625,3.0703337092950972e-15,5875.6337890625,16.79782485961914,8.665268123149872,0.0
230,5851.2587890625,3.4049953679640872e-15,5834.48486328125,16.77392578125,8.638379722833633,0.0
231,5806.85302734375,3.1661367355195844e-15,5790.10302734375,16.750093460083008,8.609272539615631,0.0
232,5763.033203125,1.952824930774133e-15,5746.306640625,16.72633171081543,8.580439537763596,0.0
233,5721.30810546875,6.092347153564652e-15,5704.60546875,16.702634811401367,8.552883565425873,0.0
234,5679.056640625,9.566401117718382e-15,5662.37744140625,16.679006576538086,8.524876832962036,0.0
235,5637.21630859375,8.153060576654696e-15,5620.56103515625,16.655445098876953,8.49703997373581,0.0
236,5596.41455078125,7.22422288142047e-15,5579.78271484375,16.631948471069336,8.469793945550919,0.0
237,5554.8544921875,9.451862781491814e-15,5538.24609375,16.608518600463867,8.44193920493126,0.0
238,5514.21337890625,7.506365320986141e-15,5497.62841796875,16.585155487060547,8.414599299430847,0.0
239,5473.80078125,9.96973025511362e-15,5457.23876953125,16.561857223510742,8.387312293052673,0.0
240,5432.7705078125,8.303978977965837e-15,5416.23193359375,16.538623809814453,8.359505236148834,0.0
241,5392.705078125,3.3699618735074125e-15,5376.189453125,16.515457153320312,8.332250267267227,0.0
242,5353.95166015625,8.825274393925182e-15,5337.45947265625,16.492355346679688,8.305791765451431,0.0
243,5314.4375,9.52102556273397e-15,5297.96826171875,16.469316482543945,8.278714120388031,0.0
244,5274.8046875,6.0082736278355055e-15,5258.3583984375,16.44634246826172,8.251453936100006,0.0
245,5236.07470703125,1.473190025644191e-14,5219.6513671875,16.423431396484375,8.224715292453766,0.0
246,5198.20947265625,6.244413708035796e-15,5181.80908203125,16.400585174560547,8.198478072881699,0.0
247,5159.8046875,1.2503237140570281e-14,5143.4267578125,16.377803802490234,8.171768486499786,0.0
248,5120.41259765625,1.3453855441010205e-14,5104.0576171875,16.355083465576172,8.14426839351654,0.0
249,5084.423828125,9.30572079897024e-15,5068.09130859375,16.332427978515625,8.119052648544312,0.0
250,5048.2197265625,1.0508377988030417e-14,5031.90966796875,16.309833526611328,8.093595504760742,0.0
251,5009.3212890625,1.3007014221114513e-14,4993.0341796875,16.287302017211914,8.066140115261078,0.0
252,4971.7060546875,6.121659999253808e-15,4955.44140625,16.26483154296875,8.039489388465881,0.0
253,4935.6650390625,1.507443699217976e-14,4919.4228515625,16.24242401123047,8.013859391212463,0.0
254,4898.74853515625,8.270107824471032e-15,4882.5283203125,16.22007942199707,7.987508922815323,0.0
255,4862.201171875,9.194291920693043e-15,4846.00341796875,16.197795867919922,7.961323857307434,0.0
256,4826.22509765625,5.561915216719749e-15,4810.04931640625,16.17557144165039,7.935451716184616,0.0
257,4789.62890625,6.860096122890055e-15,4773.4755859375,16.153409957885742,7.909034192562103,0.0
258,4753.11328125,6.933185748875682e-15,4736.98193359375,16.13130760192871,7.882573455572128,0.0
259,4717.3427734375,6.731069711617176e-15,4701.2333984375,16.10926628112793,7.856553792953491,0.0
260,4683.4013671875,1.2024371299004799e-14,4667.31396484375,16.0872859954834,7.831773906946182,0.0
261,4648.90673828125,5.643149064493225e-15,4632.84130859375,16.065364837646484,7.806497812271118,0.0
262,4613.34912109375,5.0314409282274826e-15,4597.3056640625,16.043502807617188,7.780343294143677,0.0
263,4582.609375,4.857132135594388e-15,4566.587890625,16.02170181274414,7.757653295993805,0.0
264,4551.9501953125,1.144141527261713e-14,4535.9501953125,15.999958992004395,7.73494616150856,0.0
265,4516.609375,4.623652585881424e-15,4500.630859375,15.978273391723633,7.708673924207687,0.0
266,4479.5341796875,2.8726057262198424e-15,4463.57763671875,15.956648826599121,7.681000977754593,0.0
267,4447.5712890625,7.66903799850633e-15,4431.63623046875,15.935081481933594,7.65705332159996,0.0
268,4417.4267578125,8.623911792473259e-15,4401.51318359375,15.913573265075684,7.634390145540237,0.0
269,4383.015625,6.104107359004331e-15,4367.12353515625,15.892123222351074,7.608421146869659,0.0
270,4346.29345703125,4.837821478462885e-15,4330.4228515625,15.87073040008545,7.580594718456268,0.0
271,4314.71142578125,7.534590152854549e-15,4298.86181640625,15.849394798278809,7.556570321321487,0.0
272,4285.89013671875,9.422747717995842e-15,4270.06201171875,15.828116416931152,7.53457099199295,0.0
273,4253.0498046875,7.67935401277094e-15,4237.24267578125,15.80689525604248,7.509410381317139,0.0
274,4216.76220703125,2.514172723160871e-15,4200.9765625,15.785730361938477,7.481493800878525,0.0
275,4183.4267578125,1.1951608627736813e-14,4167.662109375,15.764623641967773,7.455743104219437,0.0
276,4153.35791015625,1.116347411646984e-14,4137.6142578125,15.743573188781738,7.432428747415543,0.0
277,4121.1982421875,1.4389524456964037e-14,4105.4755859375,15.722578048706055,7.407398521900177,0.0
278,4089.1728515625,7.960100542039536e-15,4073.47119140625,15.701638221740723,7.382375001907349,0.0
279,4058.53857421875,1.1304529666143152e-14,4042.85791015625,15.680754661560059,7.358346879482269,0.0
280,4027.9306640625,8.93933161543771e-15,4012.270751953125,15.659926414489746,7.334248721599579,0.0
281,3997.396240234375,5.8430755215830785e-15,3981.757080078125,15.639154434204102,7.310116291046143,0.0
